timestamp,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6
0,263.49458219779024,194.01192635412258,254.52335791321855,-174.854515,-84.828579,18.44884,39.620891,25.963869,52.701632,19.083276,-59.207167,-7.965087
205,263.5030632009711,193.97286327058592,254.49429283948405,-173.191161,-84.777872,16.735238,39.620891,25.963754,52.700658,19.138165,-59.179665,-7.83325
484,263.5029210080362,193.96915874911497,254.48384312368572,-173.199125,-84.772715,16.743832,39.620891,25.963754,52.69997,19.138165,-59.175138,-7.83325
687,263.50213484724577,193.96812921780972,254.48066590263022,-173.201016,-84.772314,16.745723,39.620891,25.963754,52.699569,19.138165,-59.175138,-7.83325
891,263.50158807543863,193.96765766216797,254.47937629209576,-173.201933,-84.772142,16.746697,39.620891,25.963754,52.69934,19.138165,-59.175138,-7.83325
1044,263.50104560538625,193.9672601306146,254.4784758499446,-173.202907,-84.771913,16.747614,39.620891,25.963754,52.699111,19.138165,-59.175138,-7.83325
1337,263.50028955687884,193.96726405033453,254.47802680757184,-173.203365,-84.771799,16.748187,39.621006,25.96364,52.698882,19.138165,-59.175138,-7.83325
1568,263.49983573588656,193.96686852932723,254.47739299548644,-173.204339,-84.771627,16.749161,39.621006,25.96364,52.698653,19.138165,-59.175138,-7.83325
1785,263.4999448584407,193.96642333417861,254.47769916534688,-173.204798,-84.771512,16.749619,39.621006,25.96364,52.698538,19.138165,-59.175138,-7.83325
1989,263.50202941475703,193.96334851879263,254.48200199659482,-173.085622,-84.770194,16.629928,39.621006,25.96364,52.698538,19.138165,-59.175138,-7.822249
2177,263.5144276301012,193.92347946776897,254.507636814222,-170.824101,-84.734556,14.311855,39.621006,25.963468,52.698538,19.193112,-59.175138,-7.635522
2349,263.5095843658501,193.91974894751158,254.68228688873697,-172.2581,-84.740744,15.753761,39.621006,25.963124,52.698538,19.193112,-59.161387,-7.76736
2581,263.47593856499924,193.89409562182763,255.75405251819964,-171.506551,-84.850867,14.989034,39.62112,25.929148,52.698538,19.193112,-59.248362,-7.723414
