,x,y,z,joint1,joint2,joint3,joint4,joint5,joint6,gripper
0,-29.89206636421085,232.40587715435615,193.72555498156558,89.865966,25.064955,28.086334,-33.222671,-79.70582,-3.504611,1.0
1,-29.877719462390637,232.35384847109603,193.360857790625,89.865966,25.064955,28.086334,-33.343508,-78.927629,-3.72434,1.0
2,-29.89961523764485,232.29422467102813,193.0931108061963,89.865966,25.064955,28.086334,-33.519292,-78.849822,-3.72434,1.0
3,-29.949250763017183,232.23816822256342,192.9552369682402,89.865966,25.064955,28.086334,-33.541236,-78.804042,-3.746342,1.0
4,-30.008137040900458,232.19108919858277,192.90694234764683,89.865966,25.064955,28.086334,-33.508291,-78.689565,-3.757343,1.0
5,-30.056960796969484,232.15715309614322,192.89734714117105,89.865966,25.064955,28.086334,-33.651129,-78.657537,-3.757343,1.0
6,-30.081449150140465,232.1388103577881,192.88527313145713,89.865966,25.064955,28.086334,-33.673073,-78.64837,-3.757343,1.0
7,-30.08077624552693,232.1345133254414,192.8588061443558,89.865966,25.064955,28.086334,-33.837913,-78.64837,-3.757343,1.0
8,-30.061362256810977,232.14003474299815,192.8184620485632,89.865966,25.064955,28.086334,-33.717019,-78.643786,-3.790288,1.0
9,-30.040674355958696,232.1451705092754,192.77169486412083,89.865966,25.064955,28.086334,-33.684074,-78.561395,-3.823233,1.0
10,-30.04396240041985,232.135479863529,192.73050765805476,89.865966,25.064955,28.086334,-33.255616,-78.236413,-3.823233,1.0
11,-30.082839450868498,232.104912676953,192.7035559132433,89.865966,25.064955,28.086334,-30.607921,-77.659616,-3.823233,1.0
12,-30.13149149750218,232.07015823552823,192.68891339234344,89.865966,25.064955,28.086334,-26.718741,-74.180617,-3.823233,1.0
13,-30.157251479547718,232.05175694680167,192.68106497428346,89.865966,25.064955,28.086334,-25.202637,-70.536777,-3.922125,1.0
14,-30.162729836576023,232.04726643628933,192.67627403650914,89.865966,25.064955,28.086334,-24.631341,-70.193461,-4.844988,1.0
15,-30.182877984117425,232.03329744882436,192.67306921025747,89.865966,25.064955,28.086334,-23.225073,-70.193461,-5.383282,1.0
16,-30.236997160512356,231.99693360530256,192.6705549481218,89.865966,25.064955,28.086792,-20.797107,-70.193461,-5.317392,1.0
17,-30.291276869902326,231.96048479704027,192.66821940247797,89.865966,25.064955,28.086964,-18.709708,-70.193461,-5.196555,1.0
18,-30.300835700798327,231.95366611911084,192.66591403189423,89.865966,25.064955,28.087193,-16.94093,-70.193461,-5.185555,1.0
19,-30.262800736745692,231.97864691555887,192.664626252924,89.865966,25.064955,28.087193,-15.479715,-70.193461,-5.185555,1.0
20,-30.21415518588735,232.01115711997386,192.66495364209382,89.865966,25.064955,28.087193,-15.106204,-70.193461,-5.185555,1.0
21,-30.18523646139265,232.02930947928328,192.65777580369934,89.865966,25.064955,28.087193,-14.985367,-70.1706,-5.185555,1.0
22,-30.170731941412654,232.03019768748135,192.6118056870602,89.865966,25.064955,28.087193,-15.172094,-70.056123,-5.185555,1.0
23,-30.141006459499437,232.02785415658136,192.5001479403798,89.865966,25.064955,28.087193,-15.6665,-69.937119,-5.185555,1.0
24,-30.010777246367294,232.08523320293475,192.35597450955783,89.865966,25.064955,28.087193,-15.6665,-69.932536,-5.108664,1.0
25,-29.64966400753722,232.30214436498977,192.25376409699513,89.865966,25.064955,28.087193,-15.161151,-69.932536,-5.108664,1.0
26,-28.947494295424292,232.73745664395403,192.17598017849323,89.865966,25.064955,28.087193,-14.611799,-69.932536,-5.108664,1.0
27,-27.866298687810865,233.33491228033557,191.87220131877126,89.865966,25.064955,28.087193,-14.721692,-69.941703,-5.053717,1.0
28,-26.428655293303915,233.99047708627427,191.0619737932571,89.865966,25.064955,28.087193,-14.85353,-70.033262,-5.031715,1.0
29,-24.826642104034427,234.56611235119382,189.7190011647782,89.865966,25.064955,28.087193,-15.073259,-70.133988,-4.888934,1.0
30,-23.385421624847897,234.91165403236468,188.06050553805528,89.865966,25.064955,28.087193,-14.842529,-71.296691,-5.053717,1.0
31,-22.346010856401843,234.96297703871122,186.37462131965253,89.865966,25.064955,28.087193,-14.315179,-72.729486,-5.075661,1.0
32,-21.693468145757972,234.8608346134733,185.00326524437529,89.865966,25.064955,28.087193,-13.392316,-75.494409,-4.976826,1.0
33,-21.317242256474202,234.79391128819307,184.2372151568887,89.865966,25.064955,28.087193,-12.403562,-80.337506,-6.108418,1.0
34,-21.07649955559107,234.8401911752033,184.03864626909007,89.865966,25.064955,28.087193,-11.107188,-85.789486,-8.547384,1.0
35,-20.819652308076552,234.97317734968487,184.09240483346923,89.865966,25.064955,28.087193,-9.140625,-89.50655,-8.64622,1.0
36,-20.424406754886494,235.16294108734652,184.1344378677149,89.865966,25.064955,28.087193,-6.624767,-91.218548,-8.371601,1.0
37,-19.84226860067904,235.41480206076017,184.13462919456896,89.865966,25.064955,28.087193,-4.47142,-91.218548,-8.217762,1.0
38,-19.065931746507765,235.73895396807245,184.13832942970433,89.865966,25.064955,28.087193,-3.801288,-91.218548,-8.887951,1.0
39,-18.164268467376495,236.10884118381486,184.1635934998607,89.865966,25.064955,28.087193,-3.504611,-91.218548,-9.052733,1.0
40,-17.262075638438073,236.46776125094402,184.19573676125552,89.865966,25.064955,28.087193,-3.175046,-91.163659,-9.10768,1.0
41,-16.44769371993819,236.77532659121192,184.22067378506642,89.865966,25.064955,28.087193,-3.175046,-91.122463,-9.118681,1.0
42,-15.704640362231302,237.0401694448261,184.23912066343445,89.865966,25.064955,28.087193,-3.394775,-90.989709,-9.118681,1.0
43,-14.986824580318832,237.2847223615098,184.25627220511714,89.865966,25.064955,28.087193,-3.394775,-90.683004,-9.118681,1.0
44,-14.27559792091212,237.518292324839,184.2741985571547,89.865966,25.064955,28.087193,-3.394775,-90.197766,-9.129624,1.0
45,-13.582548799219472,237.73651650359767,184.29170491281442,89.865966,25.064955,28.087193,-3.328885,-90.147403,-9.129624,1.0
46,-12.941862102706297,237.9293121978465,184.3071155317859,89.865966,25.064955,28.087193,-3.350829,-90.147403,-9.129624,1.0
47,-12.423883493233593,238.07987156458353,184.3190297460329,89.865966,25.064955,28.087193,-3.416777,-90.147403,-9.129624,1.0
48,-12.092923861127398,238.17393785360784,184.32648684546862,89.865966,25.064955,28.087193,-3.449722,-90.147403,-9.129624,1.0
49,-11.930544319438077,238.2190786654827,184.3300530325587,89.865966,25.064955,28.087193,-3.295882,-90.147403,-9.140625,1.0
50,-11.852426557762278,238.2399195849946,184.33114972571113,89.865966,25.064955,28.087193,-2.999262,-90.147403,-9.239517,1.0
