timestamp,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6
0,-32.9099006652832,236.74696350097656,232.52005004882812,0,0,0,0,0,0,0,0,0
1,-43.05344009399414,271.96649169921875,295.8254699707031,0,0,0,0,0,0,0,0,0
2,-44.66164779663086,286.79638671875,350.4652404785156,0,0,0,0,0,0,0,0,0
3,-42.23958969116211,283.53826904296875,410.2040710449219,0,0,0,0,0,0,0,0,0
4,-42.967185974121094,274.0035400390625,419.5387878417969,0,0,0,0,0,0,0,0,0
5,-43.5378303527832,268.93670654296875,413.16497802734375,0,0,0,0,0,0,0,0,0
6,-44.58988952636719,273.05548095703125,377.47259521484375,0,0,0,0,0,0,0,0,0
7,-45.03054428100586,276.7213134765625,348.3176574707031,0,0,0,0,0,0,0,0,0
8,-42.021358489990234,271.90179443359375,301.7491760253906,0,0,0,0,0,0,0,0,0
9,-38.41864776611328,258.9530029296875,259.28912353515625,0,0,0,0,0,0,0,0,0
10,-34.92082214355469,246.44300842285156,234.97775268554688,0,0,0,0,0,0,0,0,0
11,-32.58881378173828,235.21070861816406,218.25704956054688,0,0,0,0,0,0,0,0,0
12,-31.57928466796875,228.00411987304688,206.16761779785156,0,0,0,0,0,0,0,0,0
13,-31.53253746032715,226.4565887451172,199.26011657714844,0,0,0,0,0,0,0,0,0
14,-31.67833137512207,225.89573669433594,192.82240295410156,0,0,0,0,0,0,0,0,0
15,-31.87687110900879,225.45870971679688,185.67347717285156,0,0,0,0,0,0,0,0,0
16,-32.049781799316406,225.32888793945312,178.8159942626953,0,0,0,0,0,0,0,0,0
17,-32.17325973510742,226.07420349121094,175.3155059814453,0,0,0,0,0,0,0,0,0
18,-32.448829650878906,227.50035095214844,176.4359893798828,0,0,0,0,0,0,0,0,0
19,-32.88079833984375,228.49520874023438,179.66970825195312,0,0,0,0,0,0,0,0,0
20,-33.214725494384766,228.9059600830078,182.607666015625,0,0,0,0,0,0,0,0,0
21,-33.346920013427734,229.04420471191406,184.45257568359375,0,0,0,0,0,0,0,0,0
22,-33.34837341308594,229.02867126464844,185.29225158691406,0,0,0,0,0,0,0,0,0
23,-33.300323486328125,228.9217987060547,185.44476318359375,0,0,0,0,0,0,0,0,0
24,-33.2474479675293,228.79270935058594,185.22586059570312,0,0,0,0,0,0,0,0,0
25,-33.20826721191406,228.69259643554688,184.88668823242188,0,0,0,0,0,0,0,0,0
26,-33.18689727783203,228.64125061035156,184.59033203125,0,0,0,0,0,0,0,0,0
27,-33.1802978515625,228.63368225097656,184.40985107421875,0,0,0,0,0,0,0,0,0
28,-33.18272018432617,228.65301513671875,184.34796142578125,0,0,0,0,0,0,0,0,0
29,-33.18852233886719,228.68228149414062,184.36923217773438,0,0,0,0,0,0,0,0,0
30,-33.19373321533203,228.70989990234375,184.42991638183594,0,0,0,0,0,0,0,0,0
31,-33.196468353271484,228.7307586669922,184.4959259033203,0,0,0,0,0,0,0,0,0
32,-33.1965217590332,228.74423217773438,184.54864501953125,0,0,0,0,0,0,0,0,0
33,-33.194618225097656,228.75234985351562,184.58277893066406,0,0,0,0,0,0,0,0,0
34,-33.19171142578125,228.75759887695312,184.6012725830078,0,0,0,0,0,0,0,0,0
35,-33.1885871887207,228.76217651367188,184.6103057861328,0,0,0,0,0,0,0,0,0
36,-33.185707092285156,228.7673797607422,184.61587524414062,0,0,0,0,0,0,0,0,0
37,-33.183223724365234,228.77366638183594,184.62203979492188,0,0,0,0,0,0,0,0,0
38,-33.18110275268555,228.7809600830078,184.63067626953125,0,0,0,0,0,0,0,0,0
39,-33.1792106628418,228.78887939453125,184.64198303222656,0,0,0,0,0,0,0,0,0
40,-33.17741012573242,228.7970733642578,184.6552734375,0,0,0,0,0,0,0,0,0
41,-33.17560577392578,228.8052978515625,184.66958618164062,0,0,0,0,0,0,0,0,0
42,-33.17375183105469,228.81333923339844,184.6841583251953,0,0,0,0,0,0,0,0,0
43,-33.171836853027344,228.82125854492188,184.698486328125,0,0,0,0,0,0,0,0,0
44,-33.16987609863281,228.82899475097656,184.71240234375,0,0,0,0,0,0,0,0,0
45,-33.167884826660156,228.83670043945312,184.72593688964844,0,0,0,0,0,0,0,0,0
46,-33.165889739990234,228.84432983398438,184.7392578125,0,0,0,0,0,0,0,0,0
47,-33.16389846801758,228.8520050048828,184.75250244140625,0,0,0,0,0,0,0,0,0
48,-33.16191101074219,228.8596649169922,184.7657470703125,0,0,0,0,0,0,0,0,0
49,-33.159934997558594,228.86741638183594,184.779052734375,0,0,0,0,0,0,0,0,0
50,-33.157962799072266,228.87510681152344,184.79241943359375,0,0,0,0,0,0,0,0,0
51,-33.1559944152832,228.88282775878906,184.80581665039062,0,0,0,0,0,0,0,0,0
52,-33.154022216796875,228.89051818847656,184.8192596435547,0,0,0,0,0,0,0,0,0
53,-33.15205001831055,228.8982391357422,184.8326873779297,0,0,0,0,0,0,0,0,0
54,-33.15007400512695,228.9059295654297,184.84616088867188,0,0,0,0,0,0,0,0,0
55,-33.14809799194336,228.91363525390625,184.85958862304688,0,0,0,0,0,0,0,0,0
56,-33.1461181640625,228.92129516601562,184.87303161621094,0,0,0,0,0,0,0,0,0
57,-33.14413833618164,228.92901611328125,184.88644409179688,0,0,0,0,0,0,0,0,0
58,-33.142154693603516,228.93667602539062,184.8998565673828,0,0,0,0,0,0,0,0,0
59,-33.140174865722656,228.9443817138672,184.91329956054688,0,0,0,0,0,0,0,0,0
