timestamp,x,y,z,roll,pitch,yaw,joint1,joint2,joint3,joint4,joint5,joint6
3,-42.23958969116211,283.53826904296875,410.2040710449219,0,0,0,0,0,0,0,0,0
4,-42.96718597412109,274.0035400390625,419.5387878417969,0,0,0,0,0,0,0,0,0
5,-43.5378303527832,268.93670654296875,413.16497802734375,0,0,0,0,0,0,0,0,0
6,-44.58988952636719,273.05548095703125,377.47259521484375,0,0,0,0,0,0,0,0,0
8,-42.02135848999024,271.9017944335937,301.7491760253906,0,0,0,0,0,0,0,0,0
14,-31.67833137512207,225.89573669433597,192.8224029541016,0,0,0,0,0,0,0,0,0
17,-32.17325973510742,226.0742034912109,175.3155059814453,0,0,0,0,0,0,0,0,0
18,-32.448829650878906,227.50035095214844,176.4359893798828,0,0,0,0,0,0,0,0,0
22,-33.34837341308594,229.02867126464844,185.2922515869141,0,0,0,0,0,0,0,0,0
23,-33.300323486328125,228.9217987060547,185.44476318359372,0,0,0,0,0,0,0,0,0
24,-33.2474479675293,228.79270935058597,185.22586059570312,0,0,0,0,0,0,0,0,0
28,-33.18272018432617,228.65301513671875,184.34796142578125,0,0,0,0,0,0,0,0,0
29,-33.18852233886719,228.68228149414065,184.3692321777344,0,0,0,0,0,0,0,0,0
33,-33.194618225097656,228.7523498535156,184.5827789306641,0,0,0,0,0,0,0,0,0
